== scope_old_r1: total GPU 31.72 s, Newton 577
   reduce31_FOLDED      inst=    562 avg=    229.8us tot=   129.1ms 228.534 ms/newton
   zero_cross31         inst=    562 avg=      7.9us tot=     4.5ms   7.897 ms/newton
   conv_other           inst=   1127 avg=    646.5us tot=   728.6ms 1289.549 ms/newton
   conv_other           inst=   4504 avg=    103.9us tot=   467.9ms 828.183 ms/newton
   conv_other           inst=   1127 avg=     54.6us tot=    61.5ms 108.841 ms/newton
   conv_other           inst=    562 avg=    100.3us tot=    56.4ms  99.743 ms/newton
   conv_other           inst=   1126 avg=     36.3us tot=    40.9ms  72.352 ms/newton
   conv_other           inst=    565 avg=     56.5us tot=    31.9ms  56.489 ms/newton
   conv_other           inst=   1127 avg=     27.1us tot=    30.5ms  53.987 ms/newton
   conv_other           inst=   1620 avg=     17.2us tot=    27.9ms  49.415 ms/newton
   conv_other           inst=   1127 avg=     14.8us tot=    16.7ms  29.554 ms/newton
   conv_other           inst=    565 avg=     24.3us tot=    13.7ms  24.277 ms/newton
   conv_other           inst=   1127 avg=      4.5us tot=     5.1ms   8.957 ms/newton
   conv_other           inst=    405 avg=     10.6us tot=     4.3ms   7.584 ms/newton
   conv_other           inst=   1126 avg=      1.7us tot=     1.9ms   3.306 ms/newton
   conv_other           inst=    359 avg=      3.4us tot=     1.2ms   2.170 ms/newton
   conv_other           inst=    405 avg=      1.3us tot=     0.5ms   0.955 ms/newton
   conv_other           inst=      1 avg=     11.3us tot=     0.0ms   0.020 ms/newton
   ctl_spmv             inst=  97750 avg=     65.3us tot=  6383.8ms 11298.805 ms/newton
   ctl_assemble         inst=    562 avg=   5172.8us tot=  2907.1ms 5145.306 ms/newton
   ctl_assemble         inst=    558 avg=   2002.9us tot=  1117.6ms 1978.083 ms/newton
   ctl_assemble         inst=    562 avg=   1206.7us tot=   678.2ms 1200.295 ms/newton
   ctl_assemble         inst=    565 avg=    537.0us tot=   303.4ms 537.042 ms/newton
   ctl_assemble         inst=    164 avg=     38.5us tot=     6.3ms  11.170 ms/newton
   ctl_assemble         inst=    169 avg=     28.2us tot=     4.8ms   8.424 ms/newton
   CONVERTER FAMILY TOTAL 1730 ms = 6.05 % of GPU = 3.061 ms/newton
