  Ap_1|B_5: 3 frames above, 0 below, final 1.0085e-01
  Ap_1|B_6: 2 frames above, 0 below, final 3.6600e-01
  Ap_1|B_8: 3 frames above, 0 below, final 3.2379e-01
  Ap_10|B_1: 2 frames above, 1 below, final 2.0622e-01
  Ap_10|B_10: 2 frames above, 0 below, final 2.9834e-01
  Ap_10|B_2: 2 frames above, 0 below, final 2.6342e-01
  Ap_10|B_3: 2 frames above, 6 below, final 2.6539e-01
  Ap_10|B_4: 2 frames above, 0 below, final 2.0898e-01
  Ap_10|B_5: 2 frames above, 2 below, final 2.6787e-01
  Ap_10|B_6: 2 frames above, 0 below, final 2.8904e-01
  Ap_10|B_7: 2 frames above, 0 below, final 3.0287e-01
  Ap_10|B_8: 2 frames above, 6 below, final 2.6564e-01
  Ap_10|B_9: 2 frames above, 0 below, final 3.1375e-01
  Ap_2|B_1: 2 frames above, 0 below, final 2.2710e-01
  Ap_2|B_10: 2 frames above, 0 below, final 2.3488e-01
  Ap_2|B_2: 2 frames above, 0 below, final 2.5031e-01
  Ap_2|B_3: 2 frames above, 0 below, final 1.3594e-01
  Ap_2|B_4: 2 frames above, 0 below, final 1.7982e-01
  Ap_2|B_5: 2 frames above, 1 below, final 1.0482e-01
  Ap_2|B_6: 2 frames above, 0 below, final 3.5452e-01
  Ap_2|B_7: 2 frames above, 0 below, final 1.6495e-01
  Ap_2|B_8: 2 frames above, 3 below, final 2.7074e-01
  Ap_2|B_9: 3 frames above, 0 below, final 2.8710e-01
  Ap_3|B_1: 60 frames above, 0 below, final 3.5828e-01
  Ap_3|B_10: 16 frames above, 0 below, final 2.6758e-01
  Ap_3|B_2: 1 frames above, 0 below, final 2.8593e-01
  Ap_3|B_3: 2 frames above, 0 below, final 3.1246e-01
  Ap_3|B_4: 19 frames above, 0 below, final 3.4238e-01
  Ap_3|B_5: 12 frames above, 0 below, final 3.0549e-01
  Ap_3|B_6: 1 frames above, 0 below, final 3.5065e-01
  Ap_3|B_7: 1 frames above, 0 below, final 2.0664e-01
  Ap_3|B_8: 5 frames above, 0 below, final 3.7134e-01
  Ap_3|B_9: 1 frames above, 0 below, final 3.5413e-01
  Ap_4|B_10: 3 frames above, 0 below, final 2.1861e-01
  Ap_4|B_2: 1 frames above, 0 below, final 2.0777e-01
  Ap_4|B_3: 1 frames above, 0 below, final 1.1907e-01
  Ap_4|B_4: 2 frames above, 0 below, final 1.0785e-01
  Ap_4|B_5: 3 frames above, 0 below, final 1.3122e-01
  Ap_4|B_6: 2 frames above, 0 below, final 3.6489e-01
  Ap_4|B_8: 3 frames above, 0 below, final 3.1020e-01
  Ap_5|B_1: 2 frames above, 0 below, final 2.3999e-01
  Ap_5|B_10: 3 frames above, 0 below, final 2.0118e-01
  Ap_5|B_2: 2 frames above, 0 below, final 2.3372e-01
  Ap_5|B_3: 2 frames above, 0 below, final 2.9803e-01
  Ap_5|B_4: 4 frames above, 0 below, final 2.4627e-01
  Ap_5|B_5: 3 frames above, 0 below, final 2.9165e-01
  Ap_5|B_6: 2 frames above, 0 below, final 1.4678e-01
  Ap_5|B_7: 2 frames above, 0 below, final 2.7250e-01
  Ap_5|B_8: 3 frames above, 0 below, final 1.8643e-01
  Ap_5|B_9: 2 frames above, 0 below, final 1.6610e-01
  Ap_6|B_10: 3 frames above, 0 below, final 2.4209e-01
  Ap_6|B_4: 2 frames above, 0 below, final 1.0248e-01
  Ap_6|B_5: 2 frames above, 0 below, final 1.3477e-01
  Ap_6|B_6: 3 frames above, 0 below, final 3.7889e-01
  Ap_6|B_8: 2 frames above, 0 below, final 3.1478e-01
  Ap_7|B_1: 1 frames above, 0 below, final 1.8950e-01
  Ap_7|B_10: 3 frames above, 0 below, final 2.3135e-01
  Ap_7|B_2: 1 frames above, 0 below, final 2.1740e-01
  Ap_7|B_3: 1 frames above, 0 below, final 1.1266e-01
  Ap_7|B_4: 2 frames above, 0 below, final 1.3448e-01
  Ap_7|B_5: 3 frames above, 0 below, final 1.1044e-01
  Ap_7|B_6: 4 frames above, 0 below, final 3.8845e-01
  Ap_7|B_7: 0 frames above, 3 below, final 1.9129e-01
  Ap_7|B_8: 3 frames above, 0 below, final 3.1465e-01
  Ap_7|B_9: 1 frames above, 0 below, final 2.4668e-01
  Ap_8|B_10: 3 frames above, 0 below, final 2.5300e-01
  Ap_8|B_2: 1 frames above, 4 below, final 1.8856e-01
  Ap_8|B_3: 1 frames above, 0 below, final 2.5835e-01
  Ap_8|B_4: 2 frames above, 0 below, final 1.3926e-01
  Ap_8|B_5: 3 frames above, 0 below, final 2.4747e-01
  Ap_8|B_8: 3 frames above, 0 below, final 2.9958e-01
  Ap_8|B_9: 1 frames above, 0 below, final 2.4685e-01
  Ap_9|B_1: 2 frames above, 0 below, final 1.1224e-01
  Ap_9|B_10: 3 frames above, 0 below, final 2.3844e-01
  Ap_9|B_2: 2 frames above, 0 below, final 1.7927e-01
  Ap_9|B_3: 2 frames above, 0 below, final 2.5414e-01
  Ap_9|B_4: 3 frames above, 5 below, final 1.4374e-01
  Ap_9|B_5: 3 frames above, 0 below, final 2.5955e-01
  Ap_9|B_6: 2 frames above, 0 below, final 3.1291e-01
  Ap_9|B_7: 2 frames above, 0 below, final 2.5395e-01
  Ap_9|B_8: 3 frames above, 0 below, final 2.8888e-01
  Ap_9|B_9: 2 frames above, 0 below, final 2.2808e-01
  App_1|B_1: 1 frames above, 0 below, final 2.0338e-01
  App_1|B_10: 2 frames above, 0 below, final 2.2116e-01
  App_1|B_2: 1 frames above, 0 below, final 2.2516e-01
  App_1|B_3: 1 frames above, 0 below, final 1.1346e-01
  App_1|B_4: 2 frames above, 0 below, final 1.5505e-01
  App_1|B_5: 2 frames above, 0 below, final 9.5349e-02
  App_1|B_6: 4 frames above, 0 below, final 3.8329e-01
  App_1|B_7: 1 frames above, 0 below, final 1.6578e-01
  App_1|B_8: 2 frames above, 0 below, final 3.2237e-01
  App_1|B_9: 1 frames above, 0 below, final 2.6218e-01
  App_2|B_1: 1 frames above, 0 below, final 2.2623e-01
  App_2|B_10: 2 frames above, 0 below, final 1.6966e-01
  App_2|B_2: 1 frames above, 0 below, final 2.0042e-01
  App_2|B_3: 1 frames above, 0 below, final 3.2412e-01
  App_2|B_4: 1 frames above, 0 below, final 2.5374e-01
  App_2|B_5: 2 frames above, 0 below, final 3.2569e-01
  App_2|B_6: 1 frames above, 0 below, final 2.0308e-01
  App_2|B_8: 2 frames above, 0 below, final 2.6442e-01
  App_2|B_9: 1 frames above, 0 below, final 1.6320e-01
  App_3|B_1: 1 frames above, 0 below, final 2.2250e-01
  App_3|B_10: 3 frames above, 0 below, final 2.1889e-01
  App_3|B_2: 1 frames above, 0 below, final 2.0447e-01
  App_3|B_3: 1 frames above, 0 below, final 2.9147e-01
  App_3|B_4: 4 frames above, 0 below, final 2.2880e-01
  App_3|B_5: 3 frames above, 0 below, final 2.7552e-01
  App_3|B_8: 3 frames above, 16 below, final 2.4443e-01
  App_3|B_9: 2 frames above, 0 below, final 2.4410e-01
  App_4|B_10: 2 frames above, 0 below, final 2.3078e-01
  App_4|B_3: 0 frames above, 6 below, final 1.3588e-01
  App_4|B_4: 2 frames above, 0 below, final 1.7972e-01
  App_4|B_5: 2 frames above, 0 below, final 1.0406e-01
  App_4|B_6: 1 frames above, 0 below, final 3.5911e-01
  App_4|B_8: 2 frames above, 0 below, final 2.7029e-01
  App_4|B_9: 1 frames above, 0 below, final 2.8223e-01
  App_5|B_1: 2 frames above, 0 below, final 1.6023e-01
  App_5|B_10: 2 frames above, 0 below, final 2.3970e-01
  App_5|B_2: 2 frames above, 0 below, final 2.2000e-01
  App_5|B_3: 2 frames above, 3 below, final 1.1449e-01
  App_5|B_4: 2 frames above, 0 below, final 1.0684e-01
  App_5|B_5: 2 frames above, 0 below, final 1.2498e-01
  App_5|B_6: 4 frames above, 0 below, final 3.7606e-01
  App_5|B_7: 2 frames above, 0 below, final 2.1894e-01
  App_5|B_8: 2 frames above, 0 below, final 3.1276e-01
  App_5|B_9: 2 frames above, 0 below, final 2.4075e-01
saturation (mean over last 45 frames) AA: 2.1125e-01  [7.0744e-02, 3.1727e-01]
saturation (mean over last 45 frames) ApAp: 2.3240e-01  [6.7690e-02, 3.6692e-01]
saturation (mean over last 45 frames) AppApp: 2.3104e-01  [1.0522e-01, 3.2107e-01]
saturation (mean over last 45 frames) AAp: 2.1615e-01  [2.9470e-02, 3.6418e-01]
saturation (mean over last 45 frames) AApp: 2.1073e-01  [3.4837e-02, 3.5055e-01]
saturation (mean over last 45 frames) CROSS: 2.3031e-01  [8.4927e-02, 3.8210e-01]
saturation (mean over last 45 frames) BB: 2.3934e-01  [6.0310e-02, 3.1785e-01]
saturation (mean over last 45 frames) EQUIV: 2.1654e-01  [2.9470e-02, 3.6692e-01]
